Predicted covid cases
315273.6427211962
282397.39280969795
250784.4368311424
220434.77478552956
191348.40667285936
163525.33249313183
136965.552246347
111669.06593250483
87635.87355160533
64865.975103648496
43359.37058863434
23116.060006562853
4136.0433574341005
-13580.679358752037
-30034.1081419955
-45224.24299229629
-59151.08390965441
-71814.63089406979
-83214.88394554262
-93351.84306407266
-102225.50824966014
-109835.87950230483
-116182.95682200696
-121266.7402087663
-125087.22966258298
-127644.42518345709
-128938.32677138841
-128968.93442637718
-127736.24814842315
-125240.26793752657
-121480.9937936872
-116458.42571690527
-110172.56370718055
-102623.40776451328
-93810.9578889031
-83735.21408035047
-72396.17633885518
-59793.84466441721
-45928.21905703633
-30799.299516713014
-14407.086043447023
3248.4213627618738
22167.22270191321
42349.31797400722
63794.70717904391
86503.3903170235
110475.36738794553
135710.63839181024
162209.20332861785
189971.0621983679
218996.21500106063
249284.66173669603
280836.40240527433
313651.4370067951
347729.7655412585
383071.3880086646
419676.3044090136
457544.51474230504
496676.01900853915
537070.8172077162
578728.9093398356
621650.2954048978
665834.9754029026
711282.9493338503
757994.2171977405
805968.7789945733
855206.6347243488
905707.784387067
957472.2279827283
1010499.9655113318
1064790.996972878
1120345.3223673669
1177162.9416947984
1235243.8549551726
1294588.0621484895
1355195.5632747496
1417066.3583339518
1480200.4473260967
1544597.8302511843
1610258.5071092146
1677182.4779001875
1745369.742624103
1814820.3012809618
1885534.1538707628
1957511.3003935064
2030751.7408491927
2105255.4752378217
2181022.5035593933
2258052.8258139077
2336346.442001365
2415903.352121765
2496723.556175107
2578807.054161392
2662153.84608062
2746763.93193279
2832637.3117179032
2919773.9854359594
3008173.953086958
3097837.214670899
3188763.7701877826
3280953.619637609
3374406.763020378
3469123.20033609
3565102.9315847442
3662345.956766342
3760852.2758808816
3860621.888928364
3961654.795908789
4063950.996822157
4167510.4916684674
4272333.280447721
4378419.363159917
4485768.739805056
4594381.410383137
4704257.374894161
4815396.633338127
4927799.1857150365
5041465.032024888
5156394.172267683
5272586.606443421
5390042.3345521
5508761.356593723
5628743.672568288
5749989.2824757965
5872498.186316246
5996270.384089641
6121305.875795975
6247604.661435256
6375166.741007475
6503992.114512641
6634080.781950746
6765432.743321797
6898047.998625787
7031926.5478627235
7167068.391032599
7303473.528135421
7441141.959171183
7580073.684139889
7720268.703041537
7861727.015876127
8004448.622643661
8148433.523344137
8293681.7179775555
8440193.206543917
8587967.98904322
8737006.065475468
